To observe list for prog714, priority 3 for the 2023-10-20	To observe list for prog714, priority 3 for the 2023-10-20	To observe list for prog714, priority 3 for the 2023-10-20	To observe list for prog714, priority 3 for the 2023-10-20	To observe list for prog714, priority 3 for the 2023-10-20	To observe list for prog714, priority 3 for the 2023-10-20	To observe list for prog714, priority 3 for the 2023-10-20	To observe list for prog714, priority 3 for the 2023-10-20
catalog name	SIMBAD id	DACE name	coordinates (DACE)	cadence [d]	days overdue	cadence percentage overdue [%]	comments for the observer
HD27256	* alf Ret	HIP19780	4:14:25.5 / -62:28:26	360.0	6.0	1.7	
HD38042	HD  38042	HIP26589	5:39:07.0 / -58:57:27	20.0	4.0	20.0	
HD63295	* zet Vol	HIP37504	7:41:49.3 / -72:36:22	180.0	79.2	44.0	
HD63744	* Q Pup	HIP38089	7:48:20.2 / -47:04:40	180.0	79.2	44.0	
HD65638	HD  65638	HIP38925	7:57:54.8 / -40:47:04	180.0	79.2	44.0	
HD67990	HD  67990	HIP39684	8:06:36.2 / -63:30:57	180.0	97.1	53.9	
HD69066	HD  69066	HIP40307	8:13:50.7 / -35:12:30	90.0	82.3	91.5	
HD69879	HD  69879	HIP40656	8:17:58.3 / -30:00:13	180.0	74.1	41.2	
HD70195	HD  70195	HIP40735	8:18:53.7 / -42:31:36	180.0	74.1	41.2	
HD71863	HD  71863	HIP41321	8:25:51.6 / -64:36:02	25.0	149.2	596.8	
HD71622	HD  71622	HIP41449	8:27:16.4 / -31:40:22	30.0	144.2	480.7	
HD72816	HD  72816	HIP41958	8:33:09.8 / -43:41:02	60.0	114.2	190.3	
HD73438	HD  73438	HIP42305	8:37:31.2 / -28:10:43	90.0	82.3	91.5	
HD74772	* d Vel	HIP42884	8:44:23.9 / -42:38:57	120.0	52.3	43.6	
HD75025	HD  75025	HIP43064	8:46:21.7 / -33:54:08	180.0	66.1	36.7	
HD75150	HD  75150	HIP43069	8:46:22.7 / -47:54:33	180.0	66.1	36.7	
HD76278	HD  76278	HIP43716	8:54:09.9 / -32:09:20	120.0	52.3	43.6	
HD78724	HD  78724	HIP44757	9:07:18.7 / -57:27:50	180.0	66.1	36.7	
HD78883	HD  78883	HIP44827	9:08:05.5 / -58:07:47	180.0	66.1	36.7	
HD78878	HD  78878	HIP44960	9:09:34.4 / -29:49:01	180.0	66.1	36.7	
HD79173	HD  79173	HIP44981	9:09:45.4 / -60:29:56	30.0	86.4	287.9	
HD79091	HD  79091	HIP45002	9:09:57.1 / -52:04:58	180.0	66.1	36.7	
HD80171	HD  80171	HIP45542	9:16:55.1 / -40:07:00	180.0	74.1	41.2	
HD81101	* k Car	HIP45856	9:20:56.8 / -62:24:17	90.0	26.4	29.3	
HD81136	HD  81136	HIP45962	9:22:23.1 / -46:02:51	180.0	74.1	41.2	
HD81169	* lam Pyx	HIP46026	9:23:12.3 / -28:50:02	180.0	70.1	39.0	
HD82421	HD  82421	HIP46553	9:29:36.7 / -58:17:57	180.0	70.1	38.9	
HD174295	* kap Tel	HIP92646	18:52:39.6 / -52:06:27	180.0	9.9	5.5	
HD176862	HD 176862	HIP93682	19:04:39.9 / -48:24:14	180.0	5.0	2.8	
HD177389	HD 177389	HIP94150	19:09:52.9 / -68:25:28	180.0	9.9	5.5	
HD179433	HD 179433	HIP94556	19:14:39.6 / -45:11:37	180.0	4.9	2.7	
HD180771	HD 180771	HIP94956	19:19:21.8 / -36:53:40	180.0	4.9	2.7	
HD182893	HD 182893	HIP95866	19:29:52.6 / -55:26:30	180.0	9.9	5.5	
HD184922	HD 184922	HIP96577	19:38:00.5 / -32:54:46	180.0	4.9	2.7	
HD184900	HD 184900	HIP96732	19:39:50.5 / -58:09:11	180.0	9.9	5.5	
HD189365	HD 189365	HIP98496	20:00:35.9 / -28:35:11	180.0	4.9	2.7	
HD192531	HD 192531	HIP100165	20:19:03.0 / -63:13:50	180.0	9.9	5.5	
