DACE name	DACE id	coordinates (DACE)	number_obs	number_nights	nr_qc_passed	last_night	last_obs	time_span	last_obs_qc_passed	catalog name	SIMBAD id	priority	cadence [d]	comments for the observer	observable during the night	observable 22-23h	observable 23-00h	observable 00-01h	observable 01-02h	observable 02-03h	observable 03-04h	observable 04-05h	observable 05-06h	observable 06-07h	observable 07-08h	observable 08-09h	observable 09-10h	observable 10-11h	observable 11-12h	observable 12-13h	observable 13-14h	days since last obs	days overdue	cadence percentage overdue [%]
HD1581	3280716	0:20:04.3 / -64:52:29	29	29	28	2023-08-21	60178.84805948008	343.0418553901836	60178.84805948008	HD1581	* zet Tuc	0	7		True	False	False	True	True	True	True	True	True	True	False	False	False	False	False	False	False	58.990089813712984	51.990089813712984	742.7155687673284
HD10700	1298185	1:44:04.1 / -15:56:15	34	34	24	2023-08-21	60178.85852896981	343.0568623598665	60161.83369003981	HD10700	* tau Cet	0	7		True	False	False	False	True	True	True	True	True	True	True	False	False	False	False	False	False	58.97962032398209	51.97962032398209	742.5660046283156
HD20794	3000889	3:19:55.7 / -43:04:11	31	30	28	2023-02-26	60002.543726409785	123.83020944986492	60002.543726409785	HD20794	* e Eri	0	7		True	False	False	False	False	True	True	True	True	True	True	True	False	False	False	False	False	235.29442288400605	228.29442288400605	3261.3488983429434
HD65907A	3048635	7:57:46.9 / -60:18:11	49	48	49	2023-04-24	60059.49891010998	363.911804869771	60059.49891010998	HD65907A	HD  65907	0	7		True	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	178.33923918381333	171.33923918381333	2447.703416911619
HD108309	3308308	12:26:48.1 / -48:54:47	68	67	59	2023-07-20	60146.54207305005	457.931177970022	60132.50203604018	HD108309	HD 108309	0	7		False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	91.2960762437433	84.2960762437433	1204.2296606249042
HD144585	2559672	16:07:03.4 / -14:04:17	37	35	31	2023-07-20	60146.53000946017	450.7285239803605	60122.63647828996	HD144585	HD 144585	0	7		False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	91.30813983362168	84.30813983362168	1204.4019976231668
HD158198	2363449	17:29:25.6 / -33:45:38	14	14	13	2023-09-11	60199.53081243997	431.8888817601837	60199.53081243997	HD158198	HD 158198	0	7		False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	38.30733685382438	31.30733685382438	447.24766934034835
HD161612	2365264	17:47:57.5 / -34:01:08	35	35	30	2023-09-26	60214.57344292011	448.0054786200635	60208.56386381015	HD161612	HD 161612	0	7		False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	23.264706373680383	16.264706373680383	232.35294819543407
HD190248	3402701	20:08:43.6 / -66:10:55	77	74	65	2023-10-05	60223.55467852997	533.6767927301116	60223.55467852997	HD190248	* del Pav	0	7		True	False	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	14.28347076382488	7.28347076382488	104.04958234035544
HD192310	2397800	20:15:17.4 / -27:01:59	41	41	38	2023-10-05	60223.583053090144	463.8396023502573	60223.583053090144	HD192310	HD 192310	0	7		True	False	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	14.255096203647554	7.255096203647554	103.64423148067934
