DACE name	DACE id	coordinates (DACE)	number_obs	number_nights	nr_qc_passed	last_night	last_obs	time_span	last_obs_qc_passed	catalog name	SIMBAD id	ra	dec	priority	cadence [d]	comments for the observer	observable during the night	observable 22-23h	observable 23-00h	observable 00-01h	observable 01-02h	observable 02-03h	observable 03-04h	observable 04-05h	observable 05-06h	observable 06-07h	observable 07-08h	observable 08-09h	observable 09-10h	observable 10-11h	observable 11-12h	observable 12-13h	observable 13-14h	days since last obs	days overdue	cadence percentage overdue [%]
HD224832	1276993	0:01:04.2 / -23:26:28	3	3	3	2023-08-17	60174.84129551007	330.12883318029344	60174.84129551007	HD224832	HD 224832	00:01:04	-23:26:28	2	70		True	False	False	True	True	True	True	True	True	True	False	False	False	False	False	False	False	62.996853783719416	-7.003146216280584	-10.004494594686548
HD224953A	5471795	0:02:09.9 / -68:16:57	12	12	10	2023-09-14	60202.66171204019	385.8876394303516	60202.66171204019	HD224953A	HD 224953A	00:02:10	-68:16:57	2	30		True	False	False	True	True	True	True	True	True	True	False	False	False	False	False	False	False	35.176437253598124	5.176437253598124	17.25479084532708
CD-3931	1195540	0:11:42.7 / -39:13:50	13	13	12	2023-08-05	60162.8170666201	2874.013186610304	60162.8170666201	CD-3931	CD-39    31	00:11:43	-39:13:50	3	70		True	False	False	True	True	True	True	True	True	True	False	False	False	False	False	False	False	75.02108267369476	5.021082673694764	7.172975248135377
BD-1763	1304898	0:28:33.9 / -16:13:39	18	18	16	2023-09-24	60212.76384958997	2917.9912723698653	60212.76384958997	BD-1763	BD-17    63	00:28:34	-16:13:39	2	30		True	False	False	True	True	True	True	True	True	True	False	False	False	False	False	False	False	25.07429970382509	-4.9257002961749095	-16.4190009872497
CD-33501	1212430	1:22:23.5 / -33:12:56	26	25	22	2023-09-29	60217.65725080995	2243.8150224899878	60217.65725080995	CD-33501	CD-33   501	01:22:24	-33:12:56	1	15		True	False	False	True	True	True	True	True	True	True	True	False	False	False	False	False	False	20.18089848384261	5.180898483842611	34.53932322561741
BD-21262	1279646	1:35:45.8 / -20:46:14	4	4	4	2023-08-17	60174.86179210013	574.2959590703249	60174.86179210013	BD-21262	BD-21   262	01:35:46	-20:46:14	2	50		True	False	False	False	True	True	True	True	True	True	True	False	False	False	False	False	False	62.976357193663716	12.976357193663716	25.95271438732743
CD-59403	3167328	2:06:20.8 / -59:12:14	2	2	2	2023-08-17	60174.89777933015	328.1047533303499	60174.89777933015	CD-59403	CD-59   403	02:06:21	-59:12:14	2	50		True	False	False	False	True	True	True	True	True	True	True	True	False	False	False	False	False	62.94036996363866	12.940369963638659	25.880739927277318
BD-21397	1280334	2:13:12.6 / -21:11:46	9	9	8	2023-09-24	60212.71044703014	395.90539809037	60212.71044703014	BD-21397	BD-21   397	02:13:13	-21:11:46	3	90		True	False	False	False	True	True	True	True	True	True	True	True	False	False	False	False	False	25.127702263649553	-64.87229773635045	-72.08033081816716
HD13949	3094857	2:14:18.9 / -49:51:46	4	4	4	2023-09-28	60216.72828696994	2909.91250284994	60216.72828696994	HD13949	HD  13949	02:14:19	-49:51:46	None	9999	SB2, stop	True	False	False	False	True	True	True	True	True	True	True	True	False	False	False	False	False	21.109862323850393	-9977.89013767615	-99.78888026478798
HD16157	3028178	2:34:22.7 / -43:47:52	7	7	7	2023-01-13	59958.56255873991	360.02939307969064	59958.56255873991	HD16157	V* CC Eri	02:34:23	-43:47:52	None	9999	SB2, stop	True	False	False	False	True	True	True	True	True	True	True	True	False	False	False	False	False	279.27559055387974	-9719.72440944612	-97.2069647909403
