DACE name	DACE id	coordinates (DACE)	number_obs	number_nights	nr_qc_passed	last_night	last_obs	time_span	last_obs_qc_passed	catalog name	priority	cadence [d]	SIMBAD id	comments for the observer	observable during the night	observable 22-23h	observable 23-00h	observable 00-01h	observable 01-02h	observable 02-03h	observable 03-04h	observable 04-05h	observable 05-06h	observable 06-07h	observable 07-08h	observable 08-09h	observable 09-10h	observable 10-11h	observable 11-12h	observable 12-13h	observable 13-14h	days since last obs	days overdue	cadence percentage overdue [%]
HIP88	3281913	0:01:04.6 / -48:48:36	26	26	25	2023-05-15	60080.92905182019	4325.048442620318	59847.62253264012	HD224834	3	180.0	* tau Phe		True	False	False	True	True	True	True	True	True	True	False	False	False	False	False	False	False	156.90909747360274	-23.090902526397258	-12.828279181331808
HIP158	1194974	0:02:00.1 / -37:54:06	65	63	62	2022-06-28	59759.77937834989	3994.84905795008	59759.77937834989	HD224949	None	9999.0	HD 224949		True	False	False	True	True	True	True	True	True	True	False	False	False	False	False	False	False	478.0587709438987	-9520.941229056101	-95.21893418397941
HIP765	3282163	0:09:24.6 / -45:44:51	53	51	51	2023-08-02	60159.94199213013	6130.361277920194	59862.63109112019	HD496	3	180.0	* eps Phe		True	False	False	True	True	True	True	True	True	True	False	False	False	False	False	False	False	77.89615716366097	-102.10384283633903	-56.72435713129946
HIP814	3274148	0:10:02.2 / -82:13:27	27	27	26	2023-06-11	60107.85351898987	6078.272696049884	59847.62399156997	HD636	3	180.0	* gam03 Oct		False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	129.98463030392304	-50.01536969607696	-27.786316497820536
HIP938	3274435	0:11:36.7 / -80:10:26	26	26	24	2023-06-11	60107.85758914985	4341.958670829888	59847.62860437995	HD783	3	90.0	HD    783		False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	129.98056014394388	39.980560143943876	44.422844604382085
HIP966	1152112	0:11:56.1 / -42:10:20	56	56	55	2023-09-29	60217.66980032995	6188.077290509827	60217.66980032995	HD770	2	10.0	HD    770		True	False	False	True	True	True	True	True	True	True	False	False	False	False	False	False	False	20.16834896383807	10.16834896383807	101.68348963838069
HIP1268	3274661	0:15:54.9 / -75:54:42	53	53	50	2023-09-23	60211.67989673	4455.78966877982	60211.67989673	HD1221	2	30.0	HD   1221		True	False	False	False	True	True	True	True	False	False	False	False	False	False	False	False	False	26.158252563793212	-3.841747436206788	-12.80582478735596
HIP1708	1240610	0:21:31.2 / -28:58:53	69	68	68	2023-09-29	60217.63862845022	6188.024821070023	60217.63862845022	HD1737	2	10.0	* iot Scl		True	False	False	True	True	True	True	True	True	True	False	False	False	False	False	False	False	20.19952084356919	10.19952084356919	101.9952084356919
HIP2076	1175270	0:26:13.4 / -39:38:58	32	32	32	2023-09-27	60215.64947467996	6186.027678450104	60215.64947467996	HD2259	2	50.0	HD   2259		True	False	False	True	True	True	True	True	True	True	True	False	False	False	False	False	False	22.188674613833427	-27.811325386166573	-55.622650772333145
HIP2937	3231697	0:37:18.2 / -54:23:38	45	44	45	2023-05-23	60088.88728530007	6059.249909929931	60088.88728530007	HD3488	3	180.0	HD   3488		True	False	False	True	True	True	True	True	True	True	True	False	False	False	False	False	False	148.9508639937194	-31.049136006280605	-17.249520003489224
HIP3245	3214546	0:41:19.6 / -46:05:06	23	22	21	2023-08-24	60181.75292999996	6542.954063020181	60181.75292999996	HD3919	3	180.0	* mu. Phe		True	False	False	True	True	True	True	True	True	True	True	False	False	False	False	False	False	56.08521929383278	-123.91478070616722	-68.84154483675957
HIP3807	3197752	0:48:56.7 / -46:41:52	44	43	42	2023-08-02	60159.80910146004	6521.004224529956	59847.71839874983	HD4737	3	120.0	HD   4737		True	False	False	True	True	True	True	True	True	True	True	False	False	False	False	False	False	78.02904783374834	-41.970952166251664	-34.975793471876386
HIP3811	1197589	0:49:00.6 / -36:15:49	25	25	24	2023-08-02	60159.80099987006	4393.8922850601375	60159.80099987006	HD4723	3	120.0	HD   4723		True	False	False	True	True	True	True	True	True	True	True	False	False	False	False	False	False	78.03714942373335	-41.962850576266646	-34.969042146888874
HIP4232	3197565	0:53:59.0 / -48:47:29	36	36	35	2023-08-04	60161.78738175007	4405.885392929893	60161.78738175007	HD5275	3	90.0	HD   5275		True	False	False	True	True	True	True	True	True	True	True	False	False	False	False	False	False	76.0507675437184	-13.949232456281607	-15.49914717364623
HIP4293	3261244	0:55:00.3 / -69:31:38	65	65	64	2023-08-24	60181.75447564991	6542.944365069736	60181.75447564991	HD5457	3	180.0	* lam Tuc		True	False	False	False	True	True	True	True	True	True	False	False	False	False	False	False	False	56.08367364387959	-123.91632635612041	-68.84240353117801
HIP4716	1260028	1:00:33.4 / -25:44:57	23	23	19	2023-09-29	60217.67565388	4451.727823989932	60217.67565388	HD5934	2	10.0	HD   5934		True	False	False	True	True	True	True	True	True	True	True	False	False	False	False	False	False	20.162495413795114	10.162495413795114	101.62495413795114
HIP4794	1198977	1:01:34.2 / -38:12:53	36	36	36	2023-05-20	60085.9189822902	6056.245288880076	60085.9189822902	HD6080	3	180.0	HD   6080		True	False	False	True	True	True	True	True	True	True	True	False	False	False	False	False	False	151.91916700359434	-28.08083299640566	-15.600462775780924
HIP4829	3213735	1:02:01.8 / -57:00:09	35	35	33	2023-09-26	60214.740251739975	6574.952526390087	60151.94178650016	HD6192	3	180.0	* ome Phe		True	False	False	True	True	True	True	True	True	True	True	False	False	False	False	False	False	23.097897553816438	-156.90210244618356	-87.16783469232419
HIP4890	3182491	1:02:49.2 / -46:23:50	37	36	36	2023-08-24	60181.758664470166	6542.941824640147	60181.758664470166	HD6245	3	180.0	HD   6245		True	False	False	True	True	True	True	True	True	True	True	False	False	False	False	False	False	56.079484823625535	-123.92051517637447	-68.84473065354138
HIP4932	1246348	1:03:17.8 / -29:31:33	29	29	25	2023-08-04	60161.78898666008	4394.90286956029	59464.734333829954	HD6269	3	180.0	HD   6269		True	False	False	True	True	True	True	True	True	True	True	False	False	False	False	False	False	76.04916263370978	-103.95083736629022	-57.750465203494564
HIP5268	3213300	1:07:18.7 / -61:46:31	47	47	44	2023-09-26	60214.74175120983	6575.921511669643	60206.84805320017	HD6793	2	10.0	* iot Tuc		True	False	False	True	True	True	True	True	True	True	True	False	False	False	False	False	False	23.096398083958775	13.096398083958775	130.96398083958775
HIP5477	3213674	1:10:07.4 / -57:41:40	59	59	58	2023-08-04	60161.79789473023	6522.969792760443	60161.79789473023	HD7082	3	180.0	HD   7082		True	False	False	True	True	True	True	True	True	True	True	False	False	False	False	False	False	76.04025456355885	-103.95974543644115	-57.7554141313562
HIP6395	3196800	1:22:09.6 / -59:07:35	27	27	25	2023-08-04	60161.79960315023	4399.885007840116	60161.79960315023	HD8436	3	90.0	HD   8436		True	False	False	True	True	True	True	True	True	True	True	False	False	False	False	False	False	76.03854614355805	-13.961453856441949	-15.512726507157721
HIP6440	1199823	1:22:43.0 / -36:35:47	25	24	23	2022-06-28	59759.84944857005	3992.9258507099	59545.56828727992	HD8410	None	999.0	HD   8410		True	False	False	True	True	True	True	True	True	True	True	True	False	False	False	False	False	477.9887007237412	-521.0112992762588	-52.15328321083672
HIP6591	1212438	1:24:40.3 / -34:08:24	20	20	20	2023-08-04	60161.80205457984	4394.91169737	60161.80205457984	HD8629	3	120.0	HD   8629		True	False	False	True	True	True	True	True	True	True	True	True	False	False	False	False	False	76.03609471394884	-43.96390528605116	-36.636587738375965
HIP6592	1156094	1:24:40.8 / -41:29:33	80	78	74	2023-09-26	60214.74530408997	6185.063543379772	60212.693082040176	HD8651	1	20.0	HD   8651		True	False	False	True	True	True	True	True	True	True	True	True	False	False	False	False	False	23.092845203820616	3.092845203820616	15.46422601910308
HIP6812	3229853	1:27:38.1 / -71:42:15	36	34	36	2023-05-20	60085.92881614994	6498.012820109725	60085.92881614994	HD9163	3	180.0	HD   9163		True	False	False	False	True	True	True	True	True	True	True	False	False	False	False	False	False	151.90933314384893	-28.090666856151074	-15.605926031195041
HIP7008	1249070	1:30:13.8 / -28:51:56	21	21	21	2023-08-22	60179.86552101001	4394.925514189992	60179.86552101001	HD9218	3	180.0	HD   9218		True	False	False	False	True	True	True	True	True	True	True	True	False	False	False	False	False	57.97262828378007	-122.02737171621993	-67.79298428678885
HIP7083	3168124	1:31:15.1 / -49:04:22	38	38	38	2023-08-20	60177.8963130801	6148.2115997900255	60177.8963130801	HD9362	2	40.0	* del Phe		True	False	False	True	True	True	True	True	True	True	True	True	False	False	False	False	False	59.94183621369302	19.941836213693023	49.85459053423256
HIP7100	1228272	1:31:29.8 / -29:59:06	18	18	18	2023-07-31	60157.80852250988	4372.895391949918	60157.80852250988	HD9349	2	180.0	HD   9349		True	False	False	False	True	True	True	True	True	True	True	True	False	False	False	False	False	80.02962678391486	-99.97037321608514	-55.53909623115841
HIP7213	1200129	1:32:56.1 / -36:51:55	23	23	23	2023-08-23	60180.89264439	6151.203273349907	60180.89264439	HD9525	3	60.0	HD   9525		True	False	False	False	True	True	True	True	True	True	True	True	False	False	False	False	False	56.945504903793335	-3.054495096206665	-5.090825160344441
HIP7430	3167901	1:35:43.1 / -53:12:00	21	21	21	2023-08-24	60181.76153228991	4419.829931549728	60181.76153228991	HD9925	3	180.0	HD   9925		True	False	False	False	True	True	True	True	True	True	True	True	False	False	False	False	False	56.07661700388417	-123.92338299611583	-68.84632388673101
